righttrack,thermom,economy,race,income,gopdislike,betteroff,willbetteroff,gwbangry,libcon,econnextyear,partyid,bushiraq,rtaxcuts,morals,edulevel
1,40,5,10,11,0,4,2,2,1,3,1,5,,4,4
1,30,3,10,23,2,2,3,3,3,3,1,5,,4,7
1,100,4,50,1,0,2,3,,1,3,5,1,1,1,1
5,0,4,50,20,3,4,,1,,3,0,5,5,4,4
5,15,5,50,21,3,4,3,3,1,3,0,5,5,4,3
1,60,2,50,17,0,2,3,,5,2,5,2,2,3,5
1,100,1,50,15,0,3,3,,5,,4,2,1,,3
5,0,5,50,18,3,3,3,1,1,4,0,5,5,3,7
5,0,4,50,17,0,3,3,1,1,3,2,5,5,4,4
5,0,5,40,20,1,4,,1,1,3,1,5,5,3,4
,85,2,50,,1,2,2,,5,3,6,2,1,3,3
5,70,4,50,,1,4,4,,5,4,6,1,4,4,7
5,100,3,50,,0,2,3,,5,3,3,1,1,4,3
1,70,2,50,23,1,3,2,3,5,2,5,2,1,,7
1,85,2,50,21,0,2,2,4,5,2,5,1,1,4,5
5,40,4,50,16,5,3,,1,1,2,2,5,4,3,7
5,40,4,10,5,1,4,3,3,5,2,0,5,,4,4
5,0,4,10,14,4,4,3,2,5,3,1,5,,3,3
1,70,4,50,,0,2,3,,5,2,3,2,2,3,3
5,0,4,45,11,2,1,3,3,1,3,0,5,4,3,4
1,85,3,50,16,1,4,2,4,5,2,5,2,2,4,6
5,0,3,50,11,4,3,3,2,5,2,2,5,5,5,3
5,40,3,50,22,2,1,3,2,1,2,2,5,4,3,7
5,100,2,50,19,0,3,3,4,5,2,6,1,1,4,4
5,40,4,40,22,5,1,2,3,1,3,2,5,5,4,7
5,0,3,10,10,1,3,5,1,3,3,0,5,1,5,3
5,50,3,10,15,4,3,3,3,1,3,0,5,5,2,3
5,40,4,50,,3,3,3,4,5,3,5,5,5,3,6
5,0,3,25,6,3,2,3,1,1,3,0,5,5,4,6
1,85,2,50,10,0,1,1,3,1,3,2,2,,3,3
5,0,5,50,10,5,5,3,1,3,3,3,5,5,2,4
5,50,5,50,10,0,4,2,1,1,3,5,5,,5,3
5,30,4,50,23,2,3,4,2,5,4,5,5,5,4,6
5,0,5,10,,4,4,4,1,,4,2,5,5,5,5
1,85,1,30,19,0,1,2,3,5,1,6,1,1,3,4
5,30,3,50,21,0,2,2,3,,,3,4,1,,5
5,0,4,50,6,1,3,3,2,1,1,0,5,5,3,4
1,100,2,50,,1,1,1,,1,,0,1,1,4,3
5,85,5,50,12,1,2,3,2,5,4,6,5,1,5,1
5,60,,50,6,0,2,2,1,1,3,1,5,2,3,3
1,50,2,50,20,2,2,3,3,1,2,5,2,,3,7
5,0,5,10,1,5,5,2,1,1,2,0,5,5,5,2
1,60,2,50,8,0,5,3,2,3,2,5,,2,5,4
1,70,3,50,,2,3,3,3,5,4,4,2,1,4,7
5,30,4,10,,1,2,2,1,1,2,2,5,,5,5
1,100,3,50,23,0,5,5,,5,3,2,1,5,4,3
,60,4,50,13,0,3,3,,3,3,3,2,,3,1
5,30,5,50,13,0,5,1,2,1,1,1,5,,5,4
1,100,3,50,15,0,3,3,,3,3,6,2,,2,4
1,85,2,50,5,2,3,1,3,5,1,6,2,1,1,4
5,60,5,50,13,0,4,3,,1,1,,,,4,5
1,100,2,50,22,1,4,2,,5,2,6,1,,5,7
5,0,5,50,,4,5,2,,1,4,3,5,,,3
5,15,3,50,19,3,3,3,3,1,4,1,5,1,4,6
1,85,4,50,23,1,4,3,,5,2,6,5,1,3,2
5,40,3,50,19,1,3,1,,3,3,2,5,5,3,4
5,50,4,50,17,0,3,2,2,5,3,0,5,,3,6
5,0,5,10,23,4,4,2,1,1,2,0,5,5,5,7
5,0,5,10,10,3,4,1,2,1,1,0,5,,,3
5,30,3,50,16,3,4,2,2,1,3,0,5,,3,4
5,0,2,50,19,4,2,2,2,1,2,1,5,5,4,6
5,0,5,50,8,2,5,3,1,3,5,3,5,2,5,4
5,60,5,50,4,1,5,3,1,1,1,0,5,,4,1
1,90,3,50,19,0,4,3,,5,3,6,1,1,4,5
1,50,2,50,22,1,3,3,,5,3,3,2,,3,7
5,40,5,40,17,4,2,3,1,5,5,0,5,5,3,5
5,100,3,50,13,1,1,3,,5,2,4,2,2,5,3
5,30,5,50,14,0,3,3,,,3,2,5,,,3
1,60,2,50,5,4,2,2,4,1,1,1,4,,4,4
1,100,1,40,1,0,1,1,,5,1,6,1,1,3,1
5,60,4,50,11,2,4,4,,1,3,2,4,5,3,5
1,85,3,50,,0,3,3,3,5,3,4,1,1,2,3
5,85,4,50,12,1,3,4,3,5,3,5,4,5,3,6
1,50,2,10,16,0,3,2,3,1,3,1,5,4,3,3
1,85,2,10,10,1,4,3,,1,3,0,5,2,3,6
1,60,2,20,4,0,5,3,,5,1,3,2,,3,3
5,85,4,50,,0,3,,,5,3,2,1,,3,3
5,0,5,50,10,3,5,,1,3,,1,5,5,5,3
5,15,4,10,15,1,3,3,3,1,3,2,5,5,4,3
5,30,3,50,3,1,2,4,2,1,3,1,4,4,3,4
,70,4,50,,1,2,3,,5,3,3,4,,3,7
5,50,5,,,0,2,3,1,5,4,2,5,,5,3
5,15,4,50,18,2,2,3,3,1,3,0,5,2,3,3
5,15,2,50,4,2,2,1,1,5,3,5,5,,4,5
5,0,2,50,16,,2,3,3,1,,1,5,4,4,6
1,70,3,50,23,0,2,2,,5,3,6,1,,4,6
1,70,3,40,5,0,1,1,,1,2,2,1,,1,3
5,0,4,50,21,4,5,4,1,1,5,2,5,5,5,7
1,30,4,50,8,0,1,3,2,1,3,2,2,1,5,3
5,85,2,50,19,0,3,3,,5,2,6,1,4,4,7
1,85,4,50,,0,3,2,,5,2,6,1,1,2,6
5,60,4,50,21,2,3,3,,1,2,2,4,5,3,4
5,20,4,50,20,2,3,3,3,1,3,0,5,,3,4
1,70,4,50,20,0,4,2,,5,3,4,2,2,2,4
5,0,4,40,15,2,3,2,3,1,3,0,5,,3,6
1,85,2,50,21,1,1,3,,5,3,4,1,1,3,3
1,70,2,40,11,3,1,3,4,5,3,4,5,4,3,5
,70,3,10,2,0,2,1,4,5,3,1,5,,3,3
5,100,4,40,19,3,2,3,4,5,2,4,1,1,5,5
5,60,5,50,,0,3,2,,3,2,4,5,,5,3
5,40,5,40,13,0,3,2,4,1,3,3,5,,3,4
5,0,5,10,16,0,4,3,2,3,4,2,1,2,1,5
1,100,3,50,23,0,3,3,,1,3,6,1,,3,4
1,100,2,50,20,1,3,2,,5,3,4,1,,2,5
1,60,2,50,15,1,3,1,4,1,2,1,5,,2,6
5,50,3,50,9,1,2,,2,5,4,1,5,4,5,2
5,70,5,10,16,0,2,3,,5,3,0,5,,1,3
1,85,3,50,9,0,3,3,,5,2,5,,4,5,2
1,70,3,70,16,0,2,3,,1,3,3,4,,4,3
1,70,1,50,13,0,1,1,,1,2,3,1,1,3,4
5,40,4,10,5,4,4,1,2,,,1,4,,3,4
1,70,2,40,16,0,1,2,,5,3,1,4,2,3,3
5,60,5,10,16,0,3,3,2,1,3,0,5,1,3,2
5,30,4,50,21,0,2,3,,1,3,2,4,4,4,7
1,100,2,50,3,0,3,1,,5,1,6,1,1,4,6
1,85,3,50,,0,5,3,,5,3,5,2,2,3,4
5,,3,50,3,0,2,3,,,4,0,,,3,4
1,85,3,50,21,0,2,3,,1,3,2,5,2,3,5
1,95,2,50,19,0,1,2,,5,3,6,1,,3,5
1,70,2,50,21,1,2,2,,5,2,6,4,1,3,6
,100,2,50,13,1,3,2,,5,2,5,,,2,2
5,70,3,50,7,0,4,3,,1,4,5,1,,3,1
1,100,3,50,,0,2,3,,5,1,6,1,1,4,3
1,100,3,50,21,0,1,1,,5,2,5,2,2,3,5
5,15,3,50,16,3,3,3,1,1,4,2,5,5,4,6
,50,3,50,11,0,4,3,,1,2,3,5,,3,3
5,40,3,20,21,3,2,3,,5,4,2,5,,3,7
1,85,1,50,18,0,1,2,,5,2,5,1,1,4,4
1,70,3,50,9,0,3,3,,5,3,3,1,,3,3
1,60,4,50,20,1,2,2,,5,3,5,2,1,4,4
1,70,2,50,20,1,2,2,3,5,2,5,1,2,3,7
5,60,2,50,23,2,4,3,,,,1,5,,4,5
,75,2,20,16,0,2,3,,5,3,3,5,2,1,6
5,50,4,10,13,0,4,1,2,1,,4,5,,3,3
1,100,2,50,15,1,2,2,,5,3,4,1,1,4,3
5,40,5,50,20,1,3,3,3,3,3,1,5,,4,3
5,40,5,10,9,4,4,3,1,5,3,0,5,4,3,3
5,0,2,50,17,3,4,3,1,1,4,0,5,5,5,7
1,70,3,50,19,0,2,2,,5,4,6,1,1,3,6
5,15,4,50,4,5,4,4,2,1,4,2,5,5,4,5
5,40,4,50,4,0,5,1,2,5,3,1,5,,4,3
5,40,3,10,14,1,3,,3,5,3,1,5,,4,4
5,15,3,50,22,2,3,3,1,1,3,2,5,5,4,6
5,15,5,50,,0,4,3,3,1,2,2,1,5,3,2
5,100,3,50,17,1,2,3,,5,3,6,1,2,3,6
1,100,2,50,23,2,3,3,,5,2,6,1,1,3,6
5,70,5,50,18,0,4,3,3,5,3,4,2,1,4,4
5,60,4,50,9,1,4,4,,5,4,5,,,4,3
1,85,2,50,21,0,2,3,,5,2,5,2,,3,6
5,85,4,50,17,0,3,3,,5,3,4,1,,5,3
1,60,4,40,14,0,2,5,4,5,3,1,4,,4,3
1,100,2,50,20,0,3,2,,5,3,6,1,1,3,3
1,100,3,50,17,0,2,3,,5,2,4,1,1,3,4
1,60,3,50,12,0,4,2,,5,3,3,1,,3,4
5,60,,50,11,1,4,2,,1,2,0,5,5,,4
1,100,2,50,20,0,3,3,,5,2,6,1,1,5,3
5,0,3,20,20,2,4,3,1,1,3,2,5,5,4,7
5,30,2,50,18,3,1,3,2,5,1,5,5,2,2,7
5,50,4,50,1,0,4,,2,,3,1,5,1,3,1
5,0,3,10,18,0,1,1,3,1,3,0,5,,3,4
5,85,4,50,15,0,4,3,,5,4,5,2,2,4,3
1,85,2,50,19,2,3,3,,5,2,4,2,1,,6
5,60,5,10,7,3,3,5,3,,5,0,5,,5,2
5,60,5,50,3,0,5,1,,1,1,2,5,,3,3
1,100,1,50,13,0,2,1,,5,1,6,1,1,3,6
1,65,3,50,23,3,3,2,4,5,3,4,4,1,3,7
1,85,1,50,23,0,1,1,,5,2,6,1,1,1,0
5,50,5,50,18,0,1,2,2,5,5,,5,5,3,5
5,60,3,50,23,3,3,4,2,5,4,5,2,2,3,7
5,10,3,50,2,0,2,3,3,1,4,5,1,2,3,3
5,15,5,10,11,2,1,1,3,5,3,0,5,1,5,3
1,50,4,50,18,1,4,3,4,5,3,2,4,2,3,3
5,40,5,50,19,1,5,5,2,5,3,2,5,1,3,3
1,85,3,50,19,0,4,3,,1,2,4,1,,1,4
1,35,2,50,2,0,3,1,3,1,2,4,4,,4,4
5,0,3,10,,3,2,1,1,3,1,0,5,5,5,5
1,70,2,50,20,0,4,3,,5,2,3,2,5,3,6
5,85,5,50,,1,5,,,3,,4,2,,1,3
5,70,5,50,7,1,5,1,2,5,3,5,2,,4,4
5,70,4,50,8,0,2,2,4,1,3,4,5,1,5,3
5,40,5,50,23,2,4,,2,1,3,2,5,5,5,7
5,70,2,50,15,0,4,3,,5,2,5,1,1,3,6
1,85,2,50,18,0,2,2,,1,2,4,,,2,4
1,50,3,50,13,0,2,3,,1,4,2,2,2,3,3
5,0,3,50,18,0,4,3,2,1,2,2,5,2,2,3
5,50,3,10,12,0,4,3,2,5,3,1,5,2,3,3
1,85,2,50,,0,1,1,,3,2,6,1,,,4
5,30,5,35,1,3,4,3,2,5,,1,5,,4,3
1,40,4,50,21,0,4,3,2,5,3,2,5,,3,4
5,70,3,50,23,0,1,3,4,1,3,0,5,,2,5
5,0,5,50,20,5,3,3,1,1,,0,5,5,5,6
,0,4,50,13,0,3,,3,5,,0,5,1,3,1
5,30,4,50,10,2,3,4,,5,4,3,5,,3,3
5,0,4,50,18,5,3,4,1,1,3,0,5,5,4,7
5,15,4,50,15,1,2,3,1,1,4,0,5,5,4,7
1,100,2,50,17,0,2,3,,5,2,5,1,1,3,3
1,85,3,50,18,0,2,2,3,5,3,5,5,1,3,6
5,70,2,50,19,0,2,1,,1,1,3,1,5,3,3
1,85,2,50,13,0,4,2,,5,2,5,2,1,4,6
1,60,5,50,12,0,5,,3,5,5,2,2,,3,2
5,100,2,50,21,0,2,4,,5,3,5,2,,3,7
1,70,2,50,16,2,2,3,,5,2,5,2,1,4,4
5,70,4,20,17,0,2,2,,5,3,4,5,,4,5
5,15,4,50,22,3,2,3,1,1,3,2,5,5,3,6
5,60,,50,1,1,3,3,,,3,4,4,,,4
,85,3,20,2,0,,3,,5,,5,1,,2,3
5,30,5,50,20,0,4,3,2,5,4,5,5,,4,6
5,50,4,50,7,0,4,3,2,1,2,1,5,,4,4
1,70,3,50,6,4,2,3,3,5,2,4,4,2,3,3
1,70,4,50,18,1,2,3,,5,3,5,2,,4,4
1,100,2,50,,0,1,1,,3,3,6,1,1,4,4
5,45,5,10,,2,2,1,3,5,1,1,5,5,4,6
1,85,2,50,,0,2,3,,5,3,4,1,,5,3
5,60,3,10,15,1,2,2,3,1,3,1,4,,5,6
5,50,5,50,7,2,4,1,2,1,5,2,5,1,4,5
5,0,5,50,17,0,2,1,3,,4,2,5,5,5,7
1,100,3,50,17,0,2,3,,5,2,5,1,,3,4
5,0,4,10,17,2,3,1,2,1,3,1,5,5,5,6
5,0,3,10,20,1,1,1,1,5,1,0,5,1,5,3
5,40,3,10,10,0,4,1,1,5,3,3,5,5,2,4
5,60,3,50,7,0,4,3,,3,3,3,2,,,1
1,100,3,10,19,1,2,1,,5,2,6,2,1,1,7
1,85,3,40,13,0,2,3,,1,3,4,1,,2,3
5,40,5,50,19,2,3,2,2,1,3,0,5,5,3,3
1,60,4,50,18,0,2,3,,,4,3,2,,3,4
5,15,5,30,11,2,4,4,1,5,3,0,5,,3,3
5,50,5,40,14,1,4,,,5,4,2,5,1,4,4
5,0,5,50,16,1,2,,1,1,5,2,5,5,5,7
1,60,3,50,18,0,1,3,,1,4,4,1,2,3,2
5,50,4,15,17,0,3,3,2,1,3,1,5,,3,6
5,0,4,40,8,0,3,3,,1,3,2,4,1,3,2
1,85,4,50,,0,4,1,4,5,3,5,1,1,2,4
1,70,2,10,18,0,2,3,,1,1,4,1,1,4,4
5,70,3,50,19,0,4,3,,5,3,6,1,1,3,4
1,85,2,50,17,0,2,3,4,5,3,2,1,1,3,4
5,40,4,10,20,4,3,4,1,5,4,3,5,5,5,5
1,100,2,50,18,2,1,3,,5,2,5,1,1,4,3
5,50,5,10,19,0,4,1,2,5,2,2,5,5,4,5
5,85,4,50,,1,3,3,,5,3,7,4,5,4,3
5,50,4,50,21,0,2,2,,5,3,1,2,2,3,6
5,50,4,10,14,2,3,3,1,5,3,0,5,,3,4
1,85,2,20,23,0,1,1,,5,3,4,4,1,3,7
1,60,3,20,13,2,2,3,2,5,3,5,4,1,2,5
5,15,3,10,20,1,5,3,3,1,3,1,5,4,3,4
1,40,5,40,13,0,4,3,3,1,2,4,5,5,3,1
5,0,5,50,11,0,5,3,2,3,5,2,5,,4,3
1,70,3,50,9,0,1,3,3,5,1,3,5,,4,4
5,,2,10,1,0,1,3,,5,3,3,5,,4,1
1,85,2,50,15,0,2,3,3,1,3,4,2,1,3,6
1,85,2,50,15,1,2,1,3,5,2,6,2,1,2,4
5,70,3,40,19,1,2,2,2,1,3,1,5,4,3,6
5,50,4,35,17,0,4,5,3,1,4,,5,,4,4
5,15,5,50,15,0,1,3,2,1,1,0,5,1,5,3
1,60,2,50,20,1,4,2,,5,1,2,5,2,2,3
5,70,2,50,12,1,2,2,,5,2,5,1,1,3,4
5,0,3,50,18,1,4,3,1,1,3,1,5,5,3,6
5,85,2,50,11,5,2,1,4,5,1,6,1,1,5,4
,70,3,50,,2,3,4,4,3,4,1,5,1,2,6
1,100,3,50,8,1,1,3,,5,3,0,1,1,5,2
5,40,5,50,12,3,4,4,1,3,2,2,5,4,5,3
5,70,5,50,18,1,4,3,2,5,3,4,5,5,4,4
5,0,4,50,1,5,2,3,1,1,4,2,5,5,3,6
1,85,2,50,23,0,1,,,5,,6,1,1,,4
1,50,4,40,21,0,3,3,3,1,3,1,5,1,3,4
5,50,2,50,,0,3,3,,5,4,1,5,5,4,1
5,50,4,50,23,0,3,3,,,3,7,1,,3,3
5,0,3,50,14,1,3,2,1,1,4,2,5,5,4,3
5,40,4,50,11,3,3,4,3,5,2,3,5,4,4,4
5,15,5,50,21,1,3,5,1,1,4,3,5,1,4,3
5,0,3,50,22,4,3,3,1,1,3,0,5,5,3,7
5,50,3,10,4,1,3,3,,5,4,3,5,,3,2
5,85,3,45,2,2,1,1,,5,2,6,1,1,2,4
1,55,4,50,23,3,4,2,3,5,3,5,2,1,3,7
5,30,4,50,19,1,2,2,3,1,4,1,5,4,3,7
5,0,5,50,,5,4,3,1,1,5,2,5,5,5,6
5,50,5,40,12,1,5,2,1,1,3,0,5,,3,2
1,100,2,50,19,0,2,1,,5,1,6,1,1,3,3
5,50,3,50,18,1,2,2,2,1,3,0,5,5,4,5
5,15,5,10,17,1,4,5,1,1,5,0,5,,5,5
1,85,3,10,20,1,2,2,,5,3,4,1,,3,4
5,30,5,50,2,3,3,3,3,1,2,0,5,5,4,4
1,80,2,50,19,0,2,2,3,5,2,5,2,2,3,6
1,85,2,50,22,0,2,3,,5,2,6,1,1,1,6
1,30,3,50,15,2,3,4,3,3,3,0,5,5,3,5
1,70,2,50,23,1,2,2,2,3,2,2,4,,2,5
1,85,3,50,21,0,2,2,,5,3,,4,1,3,6
5,0,3,50,17,1,4,3,2,5,4,2,5,,3,6
1,85,3,50,12,0,3,2,,5,2,3,1,,3,3
1,85,3,50,21,0,2,3,,5,3,6,2,1,4,4
1,70,4,50,18,0,2,2,3,5,2,6,4,1,3,4
5,85,3,40,19,2,4,3,3,5,3,2,1,1,3,3
5,40,4,50,4,1,3,3,2,5,3,0,5,5,5,3
1,85,2,50,23,2,2,2,,5,1,6,1,1,3,7
5,30,5,50,12,3,4,2,2,1,3,1,5,,3,6
1,40,3,50,18,1,5,2,3,5,3,5,2,,3,7
5,60,4,50,7,1,5,1,4,5,1,4,5,,3,4
5,15,2,50,11,4,2,3,2,5,2,2,5,5,3,7
1,100,2,50,23,0,3,3,,5,3,6,1,1,4,6
5,30,3,10,2,0,5,3,1,5,3,2,5,,3,4
5,85,4,50,14,0,3,2,4,5,3,3,1,2,2,6
5,0,5,50,1,3,5,5,2,1,5,2,5,2,5,4
1,30,3,50,17,0,4,2,4,1,2,2,5,,3,3
5,0,4,50,2,0,2,5,1,3,5,2,5,,3,3
5,15,4,50,6,1,4,3,2,1,4,2,5,5,3,6
1,85,3,50,14,0,2,3,,5,3,4,1,1,4,4
5,0,4,40,18,5,4,3,1,1,3,1,5,,2,6
5,85,2,50,20,0,2,3,,3,2,3,5,1,4,3
1,85,2,40,21,0,2,3,,5,2,6,1,4,2,5
5,40,5,50,,3,1,4,2,5,4,4,5,2,5,4
5,70,4,50,6,2,3,4,,5,3,1,4,4,3,3
5,50,5,50,16,0,4,4,,5,4,1,5,1,2,3
5,0,5,10,1,1,3,2,3,3,3,2,5,4,4,6
,30,2,50,21,2,2,4,3,1,2,2,5,4,3,7
5,0,3,70,23,3,4,3,1,1,4,2,5,5,4,6
1,100,4,50,6,0,3,4,,,3,5,1,,4,3
5,70,4,50,13,0,4,3,4,5,3,5,2,1,4,4
1,85,3,50,18,1,2,3,,5,3,6,1,1,4,6
1,70,4,50,20,0,4,2,,1,3,1,2,,3,5
5,85,2,50,,0,1,3,,5,4,4,2,,3,3
