righttrack,thermom,economy,race,income,gopdislike,betteroff,willbetteroff,gwbangry,libcon,econnextyear,partyid,bushiraq,rtaxcuts,morals,edulevel
1,100,3,50,,0,1,1,,5,2,6,1,2,1,6
5,40,5,10,19,0,2,3,2,1,4,1,5,5,4,5
5,60,3,30,5,1,1,1,,1,2,2,2,,3,3
5,0,5,50,15,0,5,1,2,5,1,2,5,5,5,2
5,60,5,50,5,0,5,3,1,1,3,0,5,1,5,2
5,85,3,50,7,1,2,3,,5,3,4,4,1,5,4
1,70,3,50,,0,3,3,,5,3,4,5,,3,4
5,0,3,50,23,3,4,3,2,1,4,2,5,5,3,7
5,50,5,10,12,1,1,3,1,5,3,1,5,,5,3
1,75,4,50,,0,3,1,,5,2,4,2,1,5,4
5,0,5,50,4,1,5,5,1,5,2,3,5,4,5,3
5,100,,50,,0,3,3,,5,3,6,1,1,5,5
1,100,3,50,13,0,2,3,,,2,6,1,,3,3
1,100,3,50,6,0,3,,,5,,6,1,,4,2
1,100,2,50,6,0,1,2,,5,4,4,1,,3,4
5,15,3,50,23,1,4,4,1,1,3,2,5,5,3,6
1,70,3,50,17,2,3,2,4,5,3,6,2,2,3,7
5,0,5,50,12,3,5,,1,1,3,0,5,5,3,7
1,80,2,50,17,0,2,2,,5,2,2,2,,4,3
5,50,5,10,,3,3,,2,5,5,3,5,5,5,3
1,40,3,50,15,1,5,3,4,5,3,2,,,3,6
1,85,4,50,19,1,2,2,,5,1,6,4,1,5,3
5,70,4,10,,1,2,2,3,,,3,5,5,,2
5,40,2,50,23,4,2,3,1,1,3,2,5,5,5,7
1,85,3,50,16,0,4,2,,5,2,5,1,1,3,3
1,100,2,50,,1,1,1,,3,2,6,1,1,2,4
,49,5,40,3,0,2,1,3,1,3,2,5,,2,4
1,60,3,50,13,0,2,1,3,5,2,5,2,,3,5
5,50,4,50,12,0,2,3,2,5,3,2,5,,3,4
5,40,4,50,4,0,4,3,1,5,4,4,4,,,1
1,70,3,50,14,3,2,1,,1,3,1,1,,3,5
1,100,1,,8,0,3,3,,5,2,6,1,,5,3
1,85,3,50,19,1,2,2,,5,3,4,1,4,2,4
5,60,4,50,10,0,4,4,4,5,3,2,4,,3,4
5,60,3,50,17,0,3,3,,1,3,2,4,,5,6
1,85,3,50,20,0,1,1,,5,3,3,1,,3,4
5,0,4,10,14,4,3,4,1,1,3,0,5,,5,5
5,85,3,50,17,0,2,3,,5,2,5,2,1,4,6
1,70,3,50,23,0,5,2,,1,4,3,1,2,,3
1,100,3,50,23,0,2,2,,5,3,6,1,1,2,3
5,70,3,50,15,1,3,2,4,5,2,6,2,1,3,6
1,85,3,50,8,0,4,3,,5,1,0,1,,4,3
5,50,3,50,13,3,5,3,4,1,3,3,2,,3,1
1,70,3,50,,0,1,3,3,5,3,3,2,1,5,4
5,70,3,40,,0,2,3,,5,3,3,5,,3,2
1,100,2,40,13,0,1,3,,5,2,6,2,1,1,4
1,70,5,50,23,3,4,3,3,5,2,6,1,5,5,6
5,15,4,50,,4,2,3,2,1,4,2,5,5,5,4
1,40,4,50,8,0,2,2,3,1,3,1,5,,3,3
5,70,3,10,23,0,3,3,,5,3,2,2,2,3,5
5,40,5,30,23,4,3,4,1,1,4,0,5,5,3,7
5,85,2,50,21,0,2,3,,5,3,6,1,,1,6
1,85,3,40,11,0,5,3,,5,2,4,1,1,3,3
5,60,4,10,18,0,4,2,1,1,2,1,5,5,2,7
5,70,3,50,17,0,2,3,3,5,3,2,5,,3,3
5,60,4,50,19,0,4,3,3,1,3,5,5,1,3,4
1,100,3,50,5,1,3,,,1,3,6,1,,3,2
5,15,5,,,1,1,3,3,5,2,0,5,5,3,3
1,100,4,50,10,0,2,1,,1,2,6,1,1,2,4
5,30,3,50,16,2,3,3,3,1,4,1,5,,4,7
1,70,3,50,,0,2,2,,3,2,4,2,2,2,6
5,40,,50,23,3,3,3,,1,3,2,5,,2,6
5,70,2,10,23,2,4,3,,5,2,1,2,1,4,6
1,100,3,50,23,0,1,1,,5,4,6,1,1,3,3
5,70,4,50,17,0,3,3,3,5,3,2,2,,3,3
1,100,1,50,23,1,1,3,,5,1,6,2,1,3,7
5,70,5,50,17,0,5,3,1,5,3,2,1,1,1,4
1,100,2,50,,0,2,2,,5,2,6,2,2,3,3
5,40,3,50,14,2,3,5,1,1,4,1,5,4,3,3
5,30,3,10,17,0,2,3,3,5,3,1,5,,3,3
1,100,3,50,17,1,2,2,4,5,,6,,1,4,6
1,85,2,50,17,1,3,1,,5,2,6,1,1,4,7
5,15,4,50,8,3,4,1,3,1,2,0,5,5,3,3
5,15,3,40,9,0,3,3,3,1,3,3,5,,4,2
5,70,3,40,21,1,2,2,,5,3,6,5,,3,4
5,40,3,10,,,,,3,5,3,1,5,,,3
5,60,4,50,15,0,2,3,3,5,3,2,2,,2,5
5,30,4,50,11,3,3,3,1,1,3,0,5,,3,6
5,0,5,50,20,1,2,3,3,5,5,3,5,5,3,6
5,15,5,50,22,3,4,3,2,1,5,2,5,5,3,7
1,100,2,50,13,0,2,3,,5,2,6,1,1,4,4
1,70,2,10,12,0,3,1,,3,3,1,5,,3,3
1,100,2,50,21,2,2,2,4,5,1,6,2,1,5,2
5,0,5,10,15,2,4,2,1,3,2,0,5,4,5,6
5,60,2,50,15,0,1,2,,5,3,3,2,,5,5
1,70,3,50,14,2,3,3,3,5,1,5,2,2,4,5
1,100,3,50,23,0,3,2,,5,2,6,1,1,1,3
5,0,3,10,,,,,3,1,3,0,5,,3,3
